N;Russian;English;Past Simple;Past Participle;Present Participle/Gerund
1;быть;be;was/were;been;being
2;иметь;have;had;had;having
3;мочь/иметь, возможность;can;could;;
4;делать;do;did;done;doing
5;будет;will;would;;
6;писать;write;wrote;written;writing
7;бы;would;;;
8;делать (ошибку);make;made;made;making
9;видеть;see;saw;seen;seeing
10;идти;go;went;gone;going
11;приехать;come;came;come;coming
12;знать;know;knew;known;knowing
13;найти;find;found;found;finding
14;принимать/взять/брат;take;took;taken;taking
15;получить;get;got;gotten/got;getting
16;показать;show;showed;shown/showed;showing
17;дать;give;gave;given;giving
18;думать;think;thought;thought;thinking
19;сказать;say;said;said;saying
20;иметь в виду;mean;meant;meant;meaning
21;рассказать;tell;told;told;telling
22;читать;read;"read (sounds like ""red"")";"read (sounds like ""red"")";reading
23;Сказать по буквам;spell;spelled/spelt;spelled/spelt;spelling
24;зажигать;light;lit/lighted;lit/lighted;lighting
25;строить;build;built;built;building
26;стоять;stand;stood;stood;standing
27;растит;grow;grew;grown;growing
28;учить;learn;learned / learnt;learned / learnt;learning
29;держать/хранить;keep;kept;kept;keeping
30;рубить;saw;sawed;sawed / sawn;sawing
31;привлечь/рисовать;draw;drew;drawn;drawing
32;бегать;run;ran;run;running
33;начать;begin;began;begun;beginning
34;есть/кушать;eat;ate;eaten;eating
35;слушать;hear;heard;heard;hearing
36;чувствовать;feel;felt;felt;feeling
37;уходить/оставлять;leave;left;left;leaving
38;наматывать/ветер;wind;wound;wound;winding
39;держать;hold;held;held;holding
40;петь;sing;sang;sung;singing
41;прокладывать;lay;laid;laid;laying
42;летать;fly;flew;flown;flying
43;падать;fall;fell;fallen;falling
44;руководить/вести;lead;led;led;leading
45;водить;drive;drove;driven;driving
46;учить;teach;taught;taught;teaching
47;задавать;set;set;set;setting
48;положить;put;put;put;putting
49;позволять;let;let;let;letting
50;резать;cut;cut;cut;cutting
51;приносить;bring;brought;brought;bringing
52;говорить;speak;spoke;spoken;speaking
53;ездить;ride;rode;ridden;riding
54;сидеть;sit;sat;sat;sitting
55;спать;sleep;slept;slept;sleeping
56;доказывать;prove;proved;proven/proved;proving
57;поймать;catch;caught;caught;catching
58;родить;bear;bore;born/borne;bearing
59;облекать;clothe;clothed/clad;clothed/clad;clothing
60;встретить;meet;met;met;meeting
61;купить;buy;bought;bought;buying
62;жечь;burn;burned / burnt;burned/burnt;burning
63;бороться;fight;fought;fought;fighting
64;лежать;lie;lay;lain;lying
65;бить;beat;beat;beaten/beat;beating
66;прыгать;spring;sprang/sprung;sprung;springing
67;спешить;speed;sped/speeded;sped/speeded;speeding
68;платить;pay;paid;paid;paying
69;придерживаться;stick;stuck;stuck;sticking
70;ломать;break;broke;broken;breaking
71;подниматься;rise;rose;risen;rising
72;дуть;blow;blew;blown;blowing
73;стоить;cost;cost;cost;costing
74;носить;wear;wore;worn;wearing
75;выбрать;choose;chose;chosen;choosing
76;поместиться;fit;fit;fit;fitting
77;звонить;ring;rang;rung;ringing
78;ударить;hit;hit;hit;hitting
79;завязывать;string;strung;strung;stringing
80;отправить;send;sent;sent;sending
81;продавать;sell;sold;sold;selling
82;поступать;deal;dealt;dealt;dealing
83;плавать;swim;swam;swum;swimming
84;обувать;shoe;shod;shod;shoeing
85;распространяться;spread;spread;spread;spreading
86;бросать;throw;threw;thrown;throwing
87;сиять;shine;shined/shone;shined/shone;shining
88;выиграть;win;won;won;winning
89;мечтать;dream;dreamed/dreamt;dreamed/dreamt;dreaming
90;кормить;feed;fed;fed;feeding
91;пахнуть;smell;smelled/smelt;smelled/smelt;smelling
92;проводить;spend;spent;spent;spending
93;пить;drink;drank;drunk;drinking
94;стать;become;became;become;becoming
95;заимствовать;borrow;borrowed;borrowed;borrowing
96;забывать;forget;forgot;forgotten;forgetting
97;давать (в долг);lend;lent;lent;lending
98;терять;lose;lost;lost;losing
99;понимать;understand;understood;understood;understanding
